tier,model,model_label,model_family,target,n_samples,n_features,cv,mae,rmse,r2,exact_acc,band_acc,mean_band_distance,mean_norm_score_distance,mean_norm_band_distance,f1_macro,f1_weighted,f1_low,f1_moderate,f1_high,agent_family
demos,Llama-3.2-3B v1,,,gt_interpersonal_ca,241,,,5.066390041493776,,,0.07468879668049792,0.2946058091286307,,,,0.16442977631096442,0.15211280464146,0.044444444444444446,0.44884488448844884,0.0,llm
employment,Llama-3.2-3B v1,,,gt_group_ca,241,,,5.5850622406639,,,0.08713692946058091,0.5352697095435685,,,,0.26018099547511314,0.3957773980961679,0.6923076923076923,0.08823529411764706,0.0,llm
employment,Llama-3.2-3B v1,,,gt_interpersonal_ca,241,,,5.24896265560166,,,0.07883817427385892,0.29045643153526973,,,,0.17298510125821198,0.15187535225648421,0.03007518796992481,0.44966442953020136,0.0392156862745098,llm
full,Llama-3.2-3B v1,,,gt_group_ca,241,,,5.2946058091286305,,,0.11203319502074689,0.5062240663900415,,,,0.2636563445760118,0.39216896835102244,0.670487106017192,0.12048192771084337,0.0,llm
full,Llama-3.2-3B v1,,,gt_interpersonal_ca,241,,,5.531120331950207,,,0.07883817427385892,0.3153526970954357,,,,0.27566591194818063,0.28712567365286273,0.2751322751322751,0.3879310344827586,0.16393442622950818,llm
geo,Llama-3.2-3B v1,,,gt_group_ca,241,,,5.626556016597511,,,0.08713692946058091,0.5269709543568465,,,,0.2569323862141542,0.391242095059064,0.6850828729281768,0.08571428571428572,0.0,llm
geo,Llama-3.2-3B v1,,,gt_interpersonal_ca,241,,,5.273858921161826,,,0.07883817427385892,0.3029045643153527,,,,0.19642969027541535,0.18893963099189454,0.09859154929577464,0.4529616724738676,0.03773584905660377,llm
transit,Llama-3.2-3B v1,,,gt_group_ca,241,,,5.468879668049793,,,0.08713692946058091,0.5269709543568465,,,,0.26481481481481484,0.39672660212079297,0.6833333333333333,0.1111111111111111,0.0,llm
transit,Llama-3.2-3B v1,,,gt_interpersonal_ca,241,,,5.647302904564316,,,0.07468879668049792,0.2946058091286307,,,,0.21512437976253765,0.22681573184343987,0.1871345029239766,0.421875,0.03636363636363636,llm
demos,Llama-3.2-3B v2,,,gt_group_ca,241,,,5.8921161825726145,,,0.07053941908713693,0.33195020746887965,,,,0.24691358024691357,0.29618103580759186,0.37962962962962965,0.3611111111111111,0.0,llm
demos,Llama-3.2-3B v2,,,gt_interpersonal_ca,241,,,7.373443983402489,,,0.03319502074688797,0.34024896265560167,,,,0.2625962720287202,0.3251937759446171,0.4980237154150198,0.075,0.21476510067114093,llm
employment,Llama-3.2-3B v2,,,gt_group_ca,241,,,5.402489626556017,,,0.04979253112033195,0.35269709543568467,,,,0.26252492121679855,0.3176311321003953,0.4131455399061033,0.3744292237442922,0.0,llm
employment,Llama-3.2-3B v2,,,gt_interpersonal_ca,241,,,6.1120331950207465,,,0.06224066390041494,0.46473029045643155,,,,0.23334973531305228,0.3539943048719342,0.641399416909621,0.02531645569620253,0.03333333333333333,llm
full,Llama-3.2-3B v2,,,gt_group_ca,241,,,5.539419087136929,,,0.07053941908713693,0.2987551867219917,,,,0.22212675773978294,0.2631779904377863,0.3300970873786408,0.336283185840708,0.0,llm
full,Llama-3.2-3B v2,,,gt_interpersonal_ca,241,,,5.601659751037344,,,0.07883817427385892,0.4730290456431535,,,,0.3612110287969206,0.44856898284204405,0.6148409893992933,0.3511450381679389,0.11764705882352941,llm
geo,Llama-3.2-3B v2,,,gt_group_ca,241,,,5.91701244813278,,,0.06639004149377593,0.29045643153526973,,,,0.20952380952380953,0.23226635052361191,0.25555555555555554,0.373015873015873,0.0,llm
geo,Llama-3.2-3B v2,,,gt_interpersonal_ca,241,,,5.4979253112033195,,,0.08713692946058091,0.38589211618257263,,,,0.24718730876053288,0.3435545182274346,0.5360824742268041,0.2054794520547945,0.0,llm
transit,Llama-3.2-3B v2,,,gt_group_ca,241,,,5.8838174273858925,,,0.05394190871369295,0.3360995850622407,,,,0.24977011494252874,0.2982586922306482,0.3793103448275862,0.37,0.0,llm
transit,Llama-3.2-3B v2,,,gt_interpersonal_ca,241,,,5.771784232365145,,,0.06224066390041494,0.45228215767634855,,,,0.29004977568195955,0.3943728830694062,0.6089743589743589,0.22413793103448276,0.037037037037037035,llm
