agent_family,model,tier,side,n,band_accuracy,f1_macro,f1_low,f1_moderate,f1_high,mean_band_distance,auc_high_vs_low,auc_ordinal_ovo
llm,Llama-3.1 v2,demos,interpersonal,241,0.1950207468879668,0.1308156963169391,0.058823529411764705,0.028169014084507043,0.3054545454545455,1.3236514522821576,0.49662642045454547,0.49773808053359686
llm,Llama-3.1 v2,employment,group,241,0.3070539419087137,0.22578769910475527,0.30851063829787234,0.36885245901639346,0.0,0.7468879668049793,0.503,0.5018617065994114
llm,Llama-3.1 v2,employment,interpersonal,241,0.18672199170124482,0.11539601692403051,0.045112781954887216,0.0,0.3010752688172043,1.3360995850622406,0.5040838068181819,0.5027817234848485
llm,Llama-3.1 v2,geo,group,241,0.26556016597510373,0.16749143509706887,0.10810810810810811,0.39436619718309857,0.0,0.7551867219917012,0.4206153846153846,0.4453543505674653
llm,Llama-3.1 v2,geo,interpersonal,241,0.43983402489626555,0.3376779891595732,0.6007905138339921,0.05555555555555555,0.35668789808917195,0.8381742738589212,0.6175426136363636,0.5793241518445323
llm,Llama-3.1 v2,transit,group,240,0.3125,0.2322597538622676,0.3283582089552239,0.3684210526315789,0.0,0.775,0.44631083202511773,0.4672324162956481
llm,Llama-3.1 v2,transit,interpersonal,240,0.19583333333333333,0.1882019211679724,0.1095890410958904,0.21153846153846154,0.24347826086956523,1.2666666666666666,0.4142400568181818,0.442605628899287
llm,Llama-3.2-3B v1,demos,group,241,0.5394190871369294,0.23360287511230907,0.7008086253369272,0.0,0.0,0.6680497925311203,0.5,0.5
llm,Llama-3.2-3B v1,demos,interpersonal,241,0.2946058091286307,0.16442977631096442,0.044444444444444446,0.44884488448844884,0.0,0.7178423236514523,0.4776278409090909,0.4851212532938076
llm,Llama-3.2-3B v1,employment,group,241,0.5352697095435685,0.26018099547511314,0.6923076923076923,0.08823529411764706,0.0,0.6721991701244814,0.4846153846153846,0.4896805380411937
llm,Llama-3.2-3B v1,employment,interpersonal,241,0.29045643153526973,0.17298510125821198,0.03007518796992481,0.44966442953020136,0.0392156862745098,0.7385892116182573,0.46333451704545453,0.47527714303359686
llm,Llama-3.2-3B v1,geo,group,241,0.5269709543568465,0.2569323862141542,0.6850828729281768,0.08571428571428572,0.0,0.6804979253112033,0.4769230769230769,0.48442622950819675
llm,Llama-3.2-3B v1,geo,interpersonal,241,0.3029045643153527,0.19642969027541535,0.09859154929577464,0.4529616724738676,0.03773584905660377,0.7427385892116183,0.46058238636363635,0.4733613306982872
llm,Llama-3.2-3B v1,transit,group,241,0.5269709543568465,0.26481481481481484,0.6833333333333333,0.1111111111111111,0.0,0.6804979253112033,0.4159230769230769,0.444500630517024
llm,Llama-3.2-3B v1,transit,interpersonal,241,0.2946058091286307,0.21512437976253765,0.1871345029239766,0.421875,0.03636363636363636,0.7966804979253111,0.3731356534090909,0.4136194657169521
llm,Llama-3.2-3B v2,demos,group,241,0.33195020746887965,0.24691358024691357,0.37962962962962965,0.3611111111111111,0.0,0.7634854771784232,0.4117692307692308,0.4374371584699454
llm,Llama-3.2-3B v2,demos,interpersonal,241,0.34024896265560167,0.2625962720287202,0.4980237154150198,0.075,0.21476510067114093,1.012448132780083,0.49156605113636365,0.4955675127635046
llm,Llama-3.2-3B v2,employment,group,241,0.35269709543568467,0.26252492121679855,0.4131455399061033,0.3744292237442922,0.0,0.7261410788381742,0.47376923076923083,0.4826099201345104
llm,Llama-3.2-3B v2,employment,interpersonal,241,0.46473029045643155,0.23334973531305228,0.641399416909621,0.02531645569620253,0.03333333333333333,0.7510373443983402,0.48446377840909094,0.4918516860177866
llm,Llama-3.2-3B v2,geo,group,241,0.29045643153526973,0.20952380952380953,0.25555555555555554,0.373015873015873,0.0,0.7634854771784232,0.398,0.4301740226986129
llm,Llama-3.2-3B v2,geo,interpersonal,241,0.38589211618257263,0.24718730876053288,0.5360824742268041,0.2054794520547945,0.0,0.7468879668049793,0.43084161931818177,0.45498334225406234
llm,Llama-3.2-3B v2,transit,group,241,0.3360995850622407,0.24977011494252874,0.3793103448275862,0.37,0.0,0.8049792531120332,0.3322307692307692,0.39102522068095835
llm,Llama-3.2-3B v2,transit,interpersonal,241,0.45228215767634855,0.29004977568195955,0.6089743589743589,0.22413793103448276,0.037037037037037035,0.7219917012448133,0.4139737215909091,0.44421756628787873
